2024-04-08 08:28:07 Line: 11, : Request start: ::1
2024-04-08 08:28:08 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 
2024-04-08 08:28:08 Line: 95, APISubiektGT\SubiektGT\document->get: Request finish: ::1
2024-04-08 08:28:17 Line: 11, : Request start: ::1
2024-04-08 08:28:18 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 1
2024-04-08 08:28:18 Line: 95, APISubiektGT\SubiektGT\document->get: Request finish: ::1
2024-04-08 08:30:53 Line: 11, : Request start: ::1
2024-04-08 08:30:58 Line: 58, APISubiektGT\SubiektGT\Document->getPdf: Wygenerowano pdf dokumentu: ZK 1/2024
2024-04-08 08:30:58 Line: 95, APISubiektGT\SubiektGT\document->getpdf: Request finish: ::1
2024-04-08 08:31:12 Line: 11, : Request start: ::1
2024-04-08 08:31:13 Line: 58, APISubiektGT\SubiektGT\Document->getPdf: Wygenerowano pdf dokumentu: ZK 1/2024
2024-04-08 08:31:13 Line: 95, APISubiektGT\SubiektGT\document->getpdf: Request finish: ::1
2024-04-08 08:31:20 Line: 11, : Request start: ::1
2024-04-08 08:31:28 Line: 58, APISubiektGT\SubiektGT\Document->getPdf: Wygenerowano pdf dokumentu: ZK 1/2024
2024-04-08 08:31:28 Line: 95, APISubiektGT\SubiektGT\document->getpdf: Request finish: ::1
2024-04-08 08:31:36 Line: 11, : Request start: ::1
2024-04-08 08:31:37 Line: 58, APISubiektGT\SubiektGT\Document->getPdf: Wygenerowano pdf dokumentu: FS 1/2024
2024-04-08 08:31:37 Line: 95, APISubiektGT\SubiektGT\document->getpdf: Request finish: ::1
2024-04-08 09:37:21 Line: 11, : Request start: ::1
2024-04-08 09:37:22 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2024-04-08 09:39:03 Line: 11, : Request start: ::1
2024-04-08 09:39:04 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2024-04-08 10:00:48 Line: 11, : Request start: ::1
2024-04-08 10:00:49 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2024-04-08 12:51:35 Line: 11, : Request start: ::1
2024-04-08 12:51:35 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2024-04-08 12:51:48 Line: 11, : Request start: ::1
2024-04-08 12:51:48 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2024-04-08 12:52:41 Line: 11, : Request start: ::1
2024-04-08 12:52:41 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2024-04-08 13:08:27 Line: 11, : Request start: ::1
2024-04-08 13:08:37 Line: 11, : Request start: ::1
2024-04-08 13:08:37 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2024-04-08 13:10:28 Line: 11, : Request start: ::1
2024-04-08 13:10:28 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2024-04-08 13:11:49 Line: 11, : Request start: ::1
2024-04-08 13:11:49 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2024-04-08 13:14:27 Line: 11, : Request start: ::1
2024-04-08 13:14:27 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2024-04-08 13:15:07 Line: 11, : Request start: ::1
2024-04-08 13:15:07 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
2024-04-08 13:15:30 Line: 11, : Request start: ::1
2024-04-08 13:16:38 Line: 11, : Request start: ::1
2024-04-08 13:16:50 Line: 11, : Request start: ::1
2024-04-08 13:16:50 Line: 90, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 2
