2024-04-06 12:17:18 Line: 46, APISubiektGT\Config->load: Nie można załadować konfiguracji z pliku:C:\Users\moski\Desktop\a\api-subiekt-gt\public/../config/api-subiekt-gt.ini
2024-04-06 12:52:10 Line: 17, C:\Users\moski\Desktop\a\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][Mened?er sterownik?w ODBC] Procedura SQLSetConnectAttr sterownika nie powiod?a si?
2024-04-06 12:53:41 Line: 17, C:\Users\moski\Desktop\a\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][Mened?er sterownik?w ODBC] Procedura SQLSetConnectAttr sterownika nie powiod?a si?
2024-04-06 12:53:45 Line: 17, C:\Users\moski\Desktop\a\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][Mened?er sterownik?w ODBC] Procedura SQLSetConnectAttr sterownika nie powiod?a si?
2024-04-06 12:53:49 Line: 17, C:\Users\moski\Desktop\a\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][Mened?er sterownik?w ODBC] Procedura SQLSetConnectAttr sterownika nie powiod?a si?
2024-04-06 12:56:17 Line: 17, C:\Users\moski\Desktop\a\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][Mened?er sterownik?w ODBC] Procedura SQLSetConnectAttr sterownika nie powiod?a si?
2024-04-06 12:56:54 Line: 17, C:\Users\moski\Desktop\a\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][Mened?er sterownik?w ODBC] Procedura SQLSetConnectAttr sterownika nie powiod?a si?
2024-04-06 12:57:40 Line: 17, C:\Users\moski\Desktop\a\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 17 for SQL Server]Named Pipes Provider: Could not open a connection to SQL Server [67].
2024-04-06 12:57:43 Line: 17, C:\Users\moski\Desktop\a\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 17 for SQL Server]Named Pipes Provider: Could not open a connection to SQL Server [67].
2024-04-06 12:57:45 Line: 17, C:\Users\moski\Desktop\a\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 17 for SQL Server]Named Pipes Provider: Could not open a connection to SQL Server [67].
2024-04-06 12:58:08 Line: 17, C:\Users\moski\Desktop\a\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 17 for SQL Server]Named Pipes Provider: Could not open a connection to SQL Server [67].
2024-04-06 13:03:55 Line: 17, C:\Users\moski\Desktop\a\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 17 for SQL Server]Named Pipes Provider: Could not open a connection to SQL Server [67].
2024-04-06 13:05:33 Line: 17, C:\Users\moski\Desktop\a\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 17 for SQL Server]Named Pipes Provider: Could not open a connection to SQL Server [67].
2024-04-06 13:05:59 Line: 17, C:\Users\moski\Desktop\a\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][Mened?er sterownik?w ODBC] Procedura SQLSetConnectAttr sterownika nie powiod?a si?
2024-04-06 13:06:05 Line: 17, C:\Users\moski\Desktop\a\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][Mened?er sterownik?w ODBC] Procedura SQLSetConnectAttr sterownika nie powiod?a si?
2024-04-06 13:06:37 Line: 17, C:\Users\moski\Desktop\a\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 17 for SQL Server]Named Pipes Provider: Could not open a connection to SQL Server [67].
2024-04-06 13:21:06 Line: 17, C:\Users\moski\Desktop\a\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 17 for SQL Server]Named Pipes Provider: Could not open a connection to SQL Server [67].
2024-04-06 13:22:48 Line: 17, C:\Users\moski\Desktop\a\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][Mened?er sterownik?w ODBC] Procedura SQLSetConnectAttr sterownika nie powiod?a si?
2024-04-06 13:23:15 Line: 17, C:\Users\moski\Desktop\a\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 17 for SQL Server]Named Pipes Provider: Could not open a connection to SQL Server [67].
2024-04-06 13:23:18 Line: 17, C:\Users\moski\Desktop\a\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 17 for SQL Server]Named Pipes Provider: Could not open a connection to SQL Server [67].
2024-04-06 13:25:29 Line: 17, C:\Users\moski\Desktop\a\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 17 for SQL Server]Named Pipes Provider: Could not open a connection to SQL Server [67].
2024-04-06 13:25:46 Line: 17, C:\Users\moski\Desktop\a\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 17 for SQL Server]Named Pipes Provider: Could not open a connection to SQL Server [67].
2024-04-06 13:31:14 Line: 17, C:\Users\moski\Desktop\a\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 17 for SQL Server]Named Pipes Provider: Could not open a connection to SQL Server [67].
2024-04-06 13:32:50 Line: 17, C:\Users\moski\Desktop\a\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 17 for SQL Server]Named Pipes Provider: Could not open a connection to SQL Server [67].
2024-04-06 13:32:52 Line: 17, C:\Users\moski\Desktop\a\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 17 for SQL Server]Named Pipes Provider: Could not open a connection to SQL Server [67].
2024-04-06 13:32:53 Line: 17, C:\Users\moski\Desktop\a\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 17 for SQL Server]Named Pipes Provider: Could not open a connection to SQL Server [67].
2024-04-06 13:38:35 Line: 17, C:\Users\moski\Desktop\a\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 17 for SQL Server]Named Pipes Provider: Could not open a connection to SQL Server [67].
2024-04-06 13:38:51 Line: 17, C:\Users\moski\Desktop\a\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 17 for SQL Server]Named Pipes Provider: Could not open a connection to SQL Server [67].
2024-04-06 13:40:16 Line: 17, C:\Users\moski\Desktop\a\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 17 for SQL Server]Named Pipes Provider: Could not open a connection to SQL Server [53].
2024-04-06 13:41:25 Line: 17, C:\Users\moski\Desktop\a\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 17 for SQL Server]Named Pipes Provider: Could not open a connection to SQL Server [67].
2024-04-06 13:42:02 Line: 17, C:\Users\moski\Desktop\a\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 17 for SQL Server]Named Pipes Provider: Could not open a connection to SQL Server [67].
2024-04-06 13:43:20 Line: 17, C:\Users\moski\Desktop\a\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 17 for SQL Server]Named Pipes Provider: Could not open a connection to SQL Server [67].
2024-04-06 13:45:59 Line: 17, C:\Users\moski\Desktop\a\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 17 for SQL Server]Named Pipes Provider: Could not open a connection to SQL Server [67].
2024-04-06 13:46:08 Line: 17, C:\Users\moski\Desktop\a\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 17 for SQL Server]Named Pipes Provider: Could not open a connection to SQL Server [67].
2024-04-06 13:53:46 Line: 17, C:\Users\moski\Desktop\a\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][ODBC Driver 17 for SQL Server]Named Pipes Provider: Could not open a connection to SQL Server [67].
2024-04-06 13:54:06 Line: 17, C:\Users\moski\Desktop\a\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][Mened?er sterownik?w ODBC] Procedura SQLSetConnectAttr sterownika nie powiod?a si?
2024-04-06 13:56:39 Line: 17, C:\Users\moski\Desktop\a\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][Mened?er sterownik?w ODBC] Procedura SQLSetConnectAttr sterownika nie powiod?a si?
2024-04-06 13:56:41 Line: 17, C:\Users\moski\Desktop\a\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][Mened?er sterownik?w ODBC] Procedura SQLSetConnectAttr sterownika nie powiod?a si?
2024-04-06 13:56:42 Line: 17, C:\Users\moski\Desktop\a\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][Mened?er sterownik?w ODBC] Procedura SQLSetConnectAttr sterownika nie powiod?a si?
2024-04-06 13:56:56 Line: 17, C:\Users\moski\Desktop\a\api-subiekt-gt\src\apisubiektgt\mssql.php: Could not connect. [Microsoft][Mened?er sterownik?w ODBC] Procedura SQLSetConnectAttr sterownika nie powiod?a si?
